incident_id,created_on,channel,caller_id,location,short_description,description,service_id,ci_id,category_id,impact,urgency,true_priority,true_assignment_group_id,true_agent_id,required_skill_id,resolution_notes,resolution_code,time_to_resolve_mins,ground_truth_cluster
INC0028,2025-08-06 17:24:00,Chat,U2036,Melbourne,Password Reset,Password Reset. client client client portal teams device jam. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0029,2025-06-14 03:09:00,Portal,U1679,Sydney,Password Reset,Password Reset. auth android outlook certificate search sso router mac account. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,6,Password Reset
INC0030,2025-07-08 05:23:00,Portal,U1542,Perth,Password Reset,Password Reset. timeout desktop certificate index. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0031,2025-07-14 04:15:00,Chat,U1671,Perth,Password Reset,Password Reset. index client router auth. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,17,Password Reset
INC0032,2025-06-22 07:44:00,Chat,U1203,Perth,Password Reset,Password Reset. account timeout firmware error teams mfa. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,7,Password Reset
INC0033,2025-06-24 17:49:00,Portal,U1367,Perth,Password Reset,Password Reset. wifi account laptop connect desktop client firmware. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,22,Password Reset
INC0034,2025-07-05 00:46:00,Portal,U1165,Canberra,Password Reset,Password Reset. portal device roller teams. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,18,Password Reset
INC0035,2025-06-14 13:10:00,Portal,U2093,Canberra,Password Reset,Password Reset. client error printer search. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,23,Password Reset
INC0036,2025-06-30 20:31:00,Email,U2005,Melbourne,Password Reset,Password Reset. drop iphone mfa drop. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,14,Password Reset
INC0037,2025-07-22 03:35:00,Portal,U2093,Perth,Password Reset,Password Reset. certificate laptop wifi auth. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,20,Password Reset
INC0038,2025-07-01 09:11:00,Chat,U1004,Perth,Password Reset,Password Reset. index client search index windows mac device. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,16,Password Reset
INC0039,2025-06-28 19:08:00,Portal,U2079,Sydney,Password Reset,Password Reset. timeout windows windows certificate. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,17,Password Reset
INC0040,2025-06-17 10:45:00,Portal,U1127,Melbourne,Password Reset,Password Reset. client laptop certificate warning timeout portal connect. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,13,Password Reset
INC0041,2025-07-15 10:25:00,Phone,U2172,Sydney,Password Reset,Password Reset. token connect connect roller drop quota search. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,13,Password Reset
INC0042,2025-07-16 17:51:00,Portal,U1909,Melbourne,Password Reset,Password Reset. teams connect portal index certificate account. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,17,Password Reset
INC0043,2025-07-20 07:28:00,Portal,U1121,Canberra,Password Reset,Password Reset. auth gateway printer windows timeout warning firmware timeout. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0044,2025-06-19 11:13:00,Phone,U1239,Melbourne,Password Reset,Password Reset. drop cache client error drop auth. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,18,Password Reset
INC0045,2025-08-02 18:18:00,Portal,U2185,Canberra,Password Reset,Password Reset. roller wifi warning cache portal. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,9,Password Reset
INC0046,2025-08-02 10:13:00,Email,U2152,Melbourne,Password Reset,Password Reset. gateway cache teams printer windows portal router policy windows. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,8,Password Reset
INC0047,2025-07-12 08:06:00,Portal,U1120,Sydney,Password Reset,Password Reset. mfa jam error cache mac mac outlook error. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,23,Password Reset
INC0048,2025-06-24 00:16:00,Chat,U1897,Melbourne,Password Reset,Password Reset. policy timeout iphone printer. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,16,Password Reset
INC0049,2025-07-10 12:37:00,Portal,U1933,Canberra,Password Reset,Password Reset. auth router search auth. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,12,Password Reset
INC0050,2025-07-13 09:21:00,Email,U2189,Canberra,Password Reset,Password Reset. firmware drop teams outlook mac printer. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,14,Password Reset
INC0051,2025-07-25 11:18:00,Email,U1499,Canberra,Password Reset,Password Reset. policy wifi token account search mac gateway drop outlook. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,6,Password Reset
INC0052,2025-07-13 13:31:00,Portal,U2032,Canberra,Password Reset,Password Reset. wifi windows outlook sso windows router client firmware profile. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0053,2025-08-10 07:01:00,Portal,U1195,Canberra,Password Reset,Password Reset. account printer client auth auth iphone. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0054,2025-07-25 07:20:00,Email,U1718,Melbourne,Password Reset,Password Reset. gateway sso certificate desktop gateway portal. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0055,2025-06-23 13:09:00,Chat,U1170,Melbourne,Password Reset,Password Reset. gateway quota sso warning outlook. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,12,Password Reset
INC0056,2025-07-30 11:02:00,Chat,U1635,Perth,Password Reset,Password Reset. teams printer drop client index. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0057,2025-07-31 06:56:00,Portal,U1290,Melbourne,Password Reset,Password Reset. firmware roller outlook laptop certificate portal profile error. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,20,Password Reset
INC0058,2025-06-14 22:15:00,Portal,U1080,Canberra,Password Reset,Password Reset. mfa windows index portal quota portal client. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,9,Password Reset
INC0059,2025-07-09 16:16:00,Phone,U1231,Melbourne,Password Reset,Password Reset. wifi mfa gateway android sso gateway. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0060,2025-07-01 06:31:00,Email,U1679,Melbourne,Password Reset,Password Reset. warning quota portal roller device policy. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,13,Password Reset
INC0061,2025-07-10 08:32:00,Phone,U1932,Sydney,Password Reset,Password Reset. android cache mfa certificate mfa client token sso. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,14,Password Reset
INC0062,2025-07-12 19:54:00,Email,U1102,Perth,Password Reset,Password Reset. sso laptop sso teams mfa mac firmware mac sso. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,13,Password Reset
INC0063,2025-07-25 03:51:00,Chat,U1553,Melbourne,Password Reset,Password Reset. gateway sso auth client error. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,16,Password Reset
INC0064,2025-07-28 01:01:00,Portal,U1701,Sydney,Password Reset,Password Reset. laptop gateway connect desktop. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,11,Password Reset
INC0065,2025-08-02 12:29:00,Chat,U1297,Sydney,Password Reset,Password Reset. router outlook profile quota. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,24,Password Reset
INC0066,2025-08-03 03:14:00,Chat,U2128,Perth,Password Reset,Password Reset. auth auth desktop printer. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,22,Password Reset
INC0067,2025-08-03 00:13:00,Email,U1397,Sydney,Password Reset,Password Reset. printer account search laptop. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,10,Password Reset
INC0068,2025-07-30 09:20:00,Email,U1802,Canberra,Password Reset,Password Reset. router quota auth certificate account router quota warning. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,19,Password Reset
INC0069,2025-06-15 03:47:00,Phone,U1823,Melbourne,Password Reset,Password Reset. firmware profile account auth mfa client policy certificate sso. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,14,Password Reset
INC0070,2025-06-17 14:58:00,Portal,U1524,Canberra,Password Reset,Password Reset. jam firmware roller warning profile windows token certificate mfa. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,25,Password Reset
INC0071,2025-07-24 19:44:00,Email,U1949,Perth,Password Reset,Password Reset. printer teams client wifi windows drop token roller portal. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,11,Password Reset
INC0072,2025-06-22 21:36:00,Chat,U1585,Sydney,Password Reset,Password Reset. iphone android mac client policy jam. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0073,2025-07-14 16:02:00,Phone,U1057,Canberra,Password Reset,Password Reset. timeout android windows drop desktop policy policy. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,11,Password Reset
INC0074,2025-07-23 02:41:00,Chat,U1477,Canberra,Password Reset,Password Reset. timeout wifi jam mfa. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,23,Password Reset
INC0075,2025-07-22 11:58:00,Phone,U1363,Canberra,Password Reset,Password Reset. account timeout sso portal gateway windows mfa profile index. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,10,Password Reset
INC0076,2025-07-07 14:11:00,Email,U1369,Perth,VPN disconnects,VPN disconnects. token client windows token. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Applied split-tunnel policy; reduced drops.,Solved - Config Change,48,VPN disconnects
INC0077,2025-07-21 06:40:00,Phone,U2084,Sydney,VPN disconnects,VPN disconnects. profile printer outlook outlook cache desktop client portal. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Patched VPN client; resolved disconnects.,Solved - Config Change,55,VPN disconnects
INC0078,2025-07-29 16:19:00,Email,U1692,Sydney,VPN disconnects,VPN disconnects. token drop quota iphone. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Patched VPN client; resolved disconnects.,Solved - Config Change,27,VPN disconnects
INC0079,2025-06-28 17:50:00,Email,U1120,Canberra,VPN disconnects,VPN disconnects. timeout account mac certificate mac quota gateway laptop jam. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Applied split-tunnel policy; reduced drops.,Solved - Config Change,57,VPN disconnects
INC0080,2025-06-13 23:04:00,Email,U1184,Melbourne,VPN disconnects,VPN disconnects. policy mfa sso profile printer. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Updated client; adjusted MTU; stable after changes.,Solved - Config Change,44,VPN disconnects
INC0081,2025-06-17 15:59:00,Chat,U1440,Melbourne,VPN disconnects,VPN disconnects. outlook token jam error android outlook account. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Patched VPN client; resolved disconnects.,Solved - Config Change,51,VPN disconnects
INC0082,2025-06-28 12:53:00,Email,U1032,Melbourne,VPN disconnects,VPN disconnects. drop mac iphone auth connect outlook wifi. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Patched VPN client; resolved disconnects.,Solved - Config Change,47,VPN disconnects
INC0083,2025-07-17 19:59:00,Phone,U1861,Perth,VPN disconnects,VPN disconnects. wifi desktop jam sso client. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Patched VPN client; resolved disconnects.,Solved - Config Change,59,VPN disconnects
INC0084,2025-06-13 21:43:00,Portal,U1558,Perth,VPN disconnects,VPN disconnects. firmware sso drop timeout policy account search search. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Updated client; adjusted MTU; stable after changes.,Solved - Config Change,74,VPN disconnects
INC0085,2025-06-22 15:56:00,Chat,U1028,Melbourne,VPN disconnects,VPN disconnects. android policy search certificate certificate portal. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Updated client; adjusted MTU; stable after changes.,Solved - Config Change,63,VPN disconnects
INC0086,2025-06-18 08:41:00,Chat,U1653,Perth,VPN disconnects,VPN disconnects. auth profile device sso search. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Patched VPN client; resolved disconnects.,Solved - Config Change,54,VPN disconnects
INC0087,2025-08-03 16:19:00,Portal,U1172,Sydney,VPN disconnects,VPN disconnects. connect search index quota profile auth firmware. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Patched VPN client; resolved disconnects.,Solved - Config Change,66,VPN disconnects
INC0088,2025-07-13 01:43:00,Email,U1969,Sydney,VPN disconnects,VPN disconnects. wifi sso profile warning connect. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Applied split-tunnel policy; reduced drops.,Solved - Config Change,53,VPN disconnects
INC0089,2025-07-24 10:04:00,Phone,U1547,Melbourne,VPN disconnects,VPN disconnects. jam gateway index firmware. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Applied split-tunnel policy; reduced drops.,Solved - Config Change,39,VPN disconnects
INC0090,2025-07-26 04:47:00,Chat,U1312,Sydney,VPN disconnects,VPN disconnects. firmware mfa auth sso error mfa laptop. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Updated client; adjusted MTU; stable after changes.,Solved - Config Change,27,VPN disconnects
INC0091,2025-08-09 10:50:00,Chat,U2082,Melbourne,VPN disconnects,VPN disconnects. jam cache index index client quota policy laptop. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Applied split-tunnel policy; reduced drops.,Solved - Config Change,63,VPN disconnects
INC0092,2025-06-15 06:11:00,Phone,U2092,Sydney,VPN disconnects,VPN disconnects. client index device firmware sso desktop sso portal. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Patched VPN client; resolved disconnects.,Solved - Config Change,48,VPN disconnects
INC0093,2025-08-09 12:50:00,Portal,U1085,Melbourne,VPN disconnects,VPN disconnects. certificate wifi device router cache. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Applied split-tunnel policy; reduced drops.,Solved - Config Change,71,VPN disconnects
INC0094,2025-07-27 01:50:00,Email,U1408,Melbourne,VPN disconnects,VPN disconnects. outlook warning client mfa token windows drop connect device. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Updated client; adjusted MTU; stable after changes.,Solved - Config Change,73,VPN disconnects
INC0095,2025-07-20 14:21:00,Email,U1334,Perth,VPN disconnects,VPN disconnects. windows printer index firmware policy. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Updated client; adjusted MTU; stable after changes.,Solved - Config Change,67,VPN disconnects
INC0096,2025-07-31 21:14:00,Email,U1074,Perth,VPN disconnects,VPN disconnects. roller firmware error drop desktop certificate. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Updated client; adjusted MTU; stable after changes.,Solved - Config Change,48,VPN disconnects
INC0097,2025-08-04 18:18:00,Email,U1192,Sydney,VPN disconnects,VPN disconnects. iphone connect timeout jam mac mfa error iphone. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Applied split-tunnel policy; reduced drops.,Solved - Config Change,63,VPN disconnects
INC0098,2025-07-15 22:01:00,Chat,U1905,Perth,VPN disconnects,VPN disconnects. iphone error roller certificate. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Updated client; adjusted MTU; stable after changes.,Solved - Config Change,46,VPN disconnects
INC0099,2025-07-22 13:44:00,Phone,U2184,Melbourne,VPN disconnects,VPN disconnects. drop wifi outlook certificate android. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Updated client; adjusted MTU; stable after changes.,Solved - Config Change,51,VPN disconnects
INC0100,2025-07-08 13:29:00,Chat,U1412,Perth,VPN disconnects,VPN disconnects. gateway client search printer cache connect firmware firmware. User reports issue persists after restart.,SV002,CI001,CAT-NW-VPN,Medium,High,P2,G002,A003,S002,Updated client; adjusted MTU; stable after changes.,Solved - Config Change,50,VPN disconnects
